,Short,Full,HTTP,Free float [%]
100,DEKPOL,Dekpol S.A.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=DEKPOL,0
101,DELKO,Delko SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=DELKO,0
102,DEVELIA,Develia SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=DEVELIA,0
103,DGA,DGA SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=DGA,0
104,DIGITREE,Digitree Group SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=DIGITREE,0
105,DINOPL,Dino Polska SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=DINOPL,0
106,DOMDEV,Dom Development SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=DOMDEV,0
107,DROP,Drop SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=DROP,0
108,DROZAPOL,Drozapol-Profil SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=DROZAPOL,0
109,ECHO,Echo Investment SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ECHO,0
110,EDINVEST,ED Invest SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=EDINVEST,0
111,EFEKT,Korporacja Gospodarcza &#8222;efekt&#8221; SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=EFEKT,0
112,EKOEXPORT,Eko Export SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=EKOEXPORT,0
113,ELBUDOWA,ELEKTROBUDOWA SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ELBUDOWA,0
114,ELEKTROTI,Elektrotim SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ELEKTROTI,0
115,ELEMENTAL,Elemental Holding SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ELEMENTAL,0
116,ELKOP,Przedsiębiorstwo Elektromontażowe ELKOP SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ELKOP,0
117,ELZAB,Zakłady Urządzeń Komputerowych ELZAB SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ELZAB,0
118,EMCINSMED,EMC Instytut Medyczny SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=EMCINSMED,0
119,ENAP,ENERGOAPARATURA SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ENAP,0
